Age,A01,A02,A03,A04,B01,B02,B03,B04,C01,C02,D01,D02
10,0.55,0.75,0.61,0.49,0.68,0.69,0.40,0.49,0.70,0.70,0.00,0.77
11,0.67,0.70,0.44,0.53,0.58,0.80,0.54,0.63,0.71,0.40,0.00,0.58
12,0.42,0.49,0.50,0.65,0.76,0.59,0.57,0.73,0.57,0.51,0.00,0.53
13,0.54,0.60,0.41,0.59,0.80,0.53,0.74,0.75,0.44,0.64,0.00,0.44
14,0.46,0.41,0.62,0.45,0.48,0.51,0.74,0.79,0.57,0.61,0.00,0.57
15,0.66,0.45,0.74,0.43,0.55,0.50,0.45,0.68,0.69,0.67,0.00,0.78
16,0.50,0.46,0.48,0.46,0.54,0.47,0.80,0.46,0.56,0.55,0.00,0.48
17,0.49,0.53,0.71,0.55,0.54,0.70,0.69,0.51,0.56,0.51,0.00,0.52
18,0.43,0.76,0.44,0.61,0.50,0.65,0.65,0.60,0.55,0.62,0.59,0.00
19,0.43,0.75,0.68,0.58,0.66,0.49,0.62,0.69,0.43,0.53,0.63,0.00
20,0.61,0.58,0.46,0.76,0.50,0.50,0.42,0.47,0.44,0.54,0.58,0.00
21,0.65,0.78,0.50,0.57,0.59,0.53,0.76,0.60,0.78,0.66,0.65,0.00
22,0.60,0.63,0.47,0.57,0.72,0.48,0.42,0.63,0.77,0.72,0.77,0.00
23,0.49,0.60,0.75,0.77,0.58,0.48,0.78,0.65,0.65,0.45,0.75,0.00
24,0.53,0.67,0.49,0.71,0.44,0.44,0.54,0.48,0.64,0.68,0.44,0.00
25,0.73,0.43,0.76,0.41,0.63,0.61,0.61,0.46,0.77,0.68,0.80,0.00
26,0.65,0.46,0.50,0.66,0.64,0.55,0.46,0.65,0.62,0.44,0.43,0.00
27,0.52,0.59,0.60,0.60,0.47,0.43,0.53,0.52,0.64,0.70,0.70,0.00
28,0.80,0.58,0.68,0.53,0.45,0.42,0.66,0.43,0.79,0.73,0.48,0.00
29,0.65,0.41,0.72,0.52,0.62,0.65,0.64,0.69,0.74,0.45,0.41,0.00
30,0.45,0.71,0.62,0.74,0.47,0.55,0.48,0.52,0.55,0.77,0.41,0.00
31,0.60,0.50,0.77,0.60,0.42,0.68,0.59,0.55,0.71,0.63,0.68,0.00
32,0.62,0.56,0.54,0.43,0.73,0.75,0.41,0.50,0.58,0.62,0.50,0.00
33,0.42,0.60,0.74,0.71,0.56,0.63,0.75,0.56,0.68,0.67,0.51,0.00
34,0.67,0.57,0.75,0.60,0.80,0.72,0.62,0.52,0.45,0.62,0.58,0.00
35,0.74,0.59,0.66,0.65,0.62,0.63,0.49,0.59,0.62,0.66,0.67,0.00
36,0.77,0.57,0.66,0.50,0.73,0.49,0.45,0.62,0.55,0.60,0.47,0.00
37,0.46,0.75,0.79,0.67,0.78,0.43,0.59,0.72,0.78,0.54,0.45,0.00
38,0.73,0.50,0.46,0.77,0.41,0.44,0.71,0.68,0.64,0.54,0.70,0.00
39,0.63,0.42,0.69,0.46,0.45,0.46,0.63,0.45,0.66,0.53,0.50,0.00
40,0.49,0.50,0.70,0.63,0.46,0.77,0.59,0.43,0.41,0.43,0.42,0.00
41,0.50,0.42,0.54,0.69,0.80,0.66,0.67,0.75,0.44,0.63,0.65,0.00
42,0.66,0.65,0.56,0.80,0.56,0.54,0.70,0.61,0.74,0.40,0.57,0.00
43,0.72,0.65,0.56,0.56,0.42,0.67,0.45,0.71,0.47,0.57,0.58,0.00
44,0.74,0.52,0.63,0.65,0.43,0.51,0.69,0.74,0.45,0.76,0.71,0.00
45,0.43,0.42,0.74,0.66,0.55,0.72,0.62,0.41,0.45,0.52,0.47,0.00
46,0.77,0.69,0.77,0.47,0.50,0.55,0.63,0.43,0.78,0.43,0.62,0.00
47,0.52,0.61,0.65,0.77,0.78,0.47,0.43,0.65,0.40,0.68,0.70,0.00
48,0.60,0.78,0.47,0.75,0.66,0.55,0.79,0.77,0.49,0.77,0.49,0.00
49,0.70,0.45,0.42,0.67,0.41,0.43,0.45,0.58,0.46,0.46,0.74,0.00
50,0.74,0.58,0.58,0.51,0.46,0.61,0.57,0.67,0.48,0.41,0.63,0.00
51,0.46,0.79,0.44,0.77,0.70,0.62,0.42,0.74,0.75,0.64,0.46,0.00
52,0.63,0.75,0.77,0.52,0.71,0.43,0.67,0.48,0.48,0.63,0.50,0.00
53,0.59,0.46,0.62,0.71,0.50,0.69,0.62,0.71,0.79,0.57,0.67,0.00
54,0.55,0.42,0.50,0.54,0.69,0.75,0.66,0.58,0.50,0.58,0.56,0.00
55,0.78,0.62,0.47,0.60,0.79,0.75,0.76,0.48,0.69,0.60,0.64,0.00
56,0.78,0.43,0.62,0.56,0.43,0.60,0.48,0.44,0.49,0.65,0.43,0.00
57,0.59,0.55,0.44,0.48,0.41,0.46,0.77,0.75,0.51,0.57,0.57,0.00
58,0.56,0.44,0.57,0.41,0.65,0.74,0.77,0.53,0.66,0.48,0.64,0.00
59,0.62,0.59,0.76,0.51,0.79,0.40,0.78,0.49,0.50,0.73,0.74,0.00
60,0.64,0.69,0.53,0.63,0.63,0.70,0.41,0.70,0.74,0.63,0.62,0.00
61,0.72,0.53,0.58,0.76,0.78,0.51,0.66,0.44,0.43,0.45,0.62,0.00
62,0.46,0.58,0.55,0.46,0.79,0.71,0.40,0.49,0.71,0.71,0.72,0.00
63,0.46,0.76,0.51,0.66,0.51,0.47,0.73,0.79,0.58,0.70,0.59,0.00
64,0.43,0.51,0.64,0.46,0.59,0.67,0.71,0.74,0.46,0.69,0.73,0.00
65,0.45,0.45,0.64,0.54,0.64,0.61,0.54,0.73,0.73,0.45,0.67,0.00
66,0.58,0.40,0.45,0.48,0.49,0.74,0.52,0.63,0.70,0.43,0.48,0.00
67,0.72,0.47,0.47,0.74,0.67,0.47,0.63,0.70,0.59,0.49,0.41,0.00
68,0.77,0.80,0.75,0.66,0.69,0.49,0.55,0.77,0.74,0.49,0.76,0.00
69,0.74,0.67,0.49,0.58,0.70,0.73,0.65,0.42,0.53,0.70,0.74,0.00
70,0.42,0.57,0.47,0.68,0.76,0.51,0.62,0.60,0.49,0.73,0.71,0.00
71,0.56,0.47,0.60,0.48,0.49,0.65,0.56,0.69,0.65,0.43,0.46,0.00
72,0.52,0.50,0.59,0.45,0.49,0.57,0.52,0.58,0.73,0.66,0.78,0.00
73,0.78,0.78,0.72,0.60,0.77,0.41,0.72,0.47,0.41,0.59,0.64,0.00
74,0.64,0.49,0.48,0.79,0.47,0.75,0.49,0.60,0.68,0.66,0.69,0.00
75,0.65,0.47,0.50,0.65,0.51,0.74,0.48,0.48,0.76,0.73,0.62,0.00
76,0.43,0.72,0.40,0.49,0.77,0.64,0.60,0.60,0.60,0.63,0.40,0.00
77,0.59,0.49,0.41,0.77,0.43,0.40,0.58,0.43,0.68,0.53,0.76,0.00
78,0.78,0.54,0.72,0.63,0.44,0.73,0.51,0.40,0.72,0.60,0.42,0.00
79,0.51,0.45,0.70,0.43,0.44,0.57,0.69,0.69,0.41,0.78,0.70,0.00
80,0.57,0.56,0.50,0.53,0.73,0.44,0.68,0.57,0.47,0.51,0.57,0.00
81,0.78,0.41,0.58,0.62,0.55,0.62,0.59,0.50,0.64,0.77,0.70,0.00
82,0.75,0.52,0.71,0.54,0.45,0.67,0.56,0.52,0.71,0.73,0.79,0.00
83,0.70,0.56,0.67,0.52,0.76,0.74,0.72,0.63,0.63,0.72,0.57,0.00
84,0.79,0.41,0.60,0.55,0.44,0.58,0.75,0.73,0.62,0.60,0.57,0.00
