PlanID,Company,Name,URL,crowns_bridges,implants,plastic_fillings,root_canal,periodontal,tooth_cleaning,waiting_period,old_age,A01,A02,A03,A04,B01,B02,B03,B04,C01,C02,D01,D02
P502,ARAG,Dent70,https://zusatzversicherung.check24.de/filestore/tariff_terms/8d40df990b82a517767c7caccfb871ef/Versicherungsbedingungen__Dent70.pdf?v=1533894830,70%,70%,70%,70%,70%,70 �� per calendar year for all prophylactic measures (from 18 years),w/o waiting,Contribution increases due to age every 5 to 10 years (age group rate),0.12,0.12,0.11,0.12,0.11,0.12,0.12,0.12,0.07,0.16,0,0.14
P771,Gothaer,MediProphy + MediZ basis,https://zusatzversicherung.check24.de/filestore/tariff_terms/ba4a0175385066c8531b66cc49c2db5c/Versicherungsbedingungen__MediProphy+MediZ_Basis.pdf?v=1533894839,50-60%,50-60%?(max 8 implants),50-60%,50-60%,50-60%,100 �� per calendar year,w/o waiting,Contribution increases due to age every 5 to 10 years (age group rate),0.09,0.09,0.09,0.09,0.15,0.16,0.13,0.16,0.1,0.16,0,0
P270,die Bayerische,ZAHN Smart,https://zusatzversicherung.check24.de/filestore/tariff_terms/2ebf4c77fa641beb6fac7d44d4504f50/Versicherungsbedingungen__ZAHN_Smart.pdf?v=1533897218,80%,80%,80%,80%,80%,160 �� per calendar year (2 x 80 ��),w/o waiting,Contribution increases due to age every 5 to 10 years (age group rate),0.13,0.13,0.13,0.14,0.12,0.13,0.13,0.13,0.15,0.16,0,0
P909,SIGNAL,ZahnTOPpur,https://zusatzversicherung.check24.de/filestore/tariff_terms/843de8a459aa1f3e12c26e12e14950c6/Versicherungsbedingungen__ZahnTOPpur.pdf?v=1533897229,90%,90%,90%,90%,90%,"�� 135 per calendar year for all prophylactic measures, 90% per treatment (from 21 years)",w/o waiting,Contribution increases due to age every 5 to 10 years (age group rate). Contribution jump with 40. This tariff is automatically converted to the Signal-Iduna tariff ZahnTOP at the age of 40 years.?The services remain the same.?The contribution remains stable from then on and costs 40.03 EUR per month.,0.15,0.15,0.15,0.15,0.13,0.14,0.14,0.14,0.13,0.16,0,0.19
P228,DKV,KDT70 + KDBS,https://zusatzversicherung.check24.de/filestore/tariff_terms/e8218b08a7eb846e8e579af228162c26/Versicherungsbedingungen__KDT70+KDBS.pdf?v=1533898339,70%,70%,70%,70%,70%,70 �� per calendar year,w/o waiting,Contribution increases due to age every 5 to 10 years (age group rate),0.12,0.12,0.11,0.12,0.11,0.12,0.12,0.12,0.07,0.16,0,0
P878,Allianz,DentalPlus (DP02),https://zusatzversicherung.check24.de/filestore/tariff_terms/a79c16cd8e2b4a01fe8c3facb5114fa9/Versicherungsbedingungen__DentalPlus_(DP02).pdf?v=1533898350,75%,75%,75%,75%,75%,�� 100 per insurance year,w/o waiting,Contribution increases due to age every 5 to 10 years (age group rate),0.13,0.13,0.12,0.13,0.11,0.12,0.06,0.12,0.1,0.16,0.18,0.16
P751,AXA,DENT Komfort U,https://zusatzversicherung.check24.de/filestore/tariff_terms/6b3eb57ff49d2490a2fc5c2aa4488628/Versicherungsbedingungen__DENT_Komfort_U.pdf?v=1533899487,75%,75%,75%,75%,75%,"�� 100 per calendar year for all prophylactic measures, 75% per treatment",6 months,Contribution increases due to age every 5 to 10 years (age group rate),0.13,0.13,0.12,0.13,0.11,0.12,0.12,0.12,0.1,0.04,0.18,0.16
P162,Gothaer,MediProphy + MediZ Plus,https://zusatzversicherung.check24.de/filestore/tariff_terms/f37116bca6f0b63533ff57ce14b39153/Versicherungsbedingungen__MediProphy+MediZ_Plus.pdf?v=1533899502,70-80%,70-80%?(max 8 implants),70-80%,70-80%,70-80%,100 �� per calendar year,w/o waiting,Contribution increases due to age every 5 to 10 years (age group rate),0.13,0.13,0.12,0.13,0.15,0.16,0.13,0.16,0.1,0.16,0,0
P029,INTER,ZPro + Exklusiv Z80,https://zusatzversicherung.check24.de/filestore/tariff_terms/f1434948277e53bc06a98340666ecf3e/Versicherungsbedingungen__ZPro_+_Exklusiv_Z80.pdf?v=1533908542,65-80%,65-80%,80%,65-80%,65-80%,One treatment per calendar year,w/o waiting,Contribution increases due to age every 5 to 10 years (age group rate),0.12,0.12,0.13,0.12,0.15,0.16,0.16,0.16,0.12,0.16,0,0.12
P804,Stuttgart,Smile! ZahnKomfort Z3,https://zusatzversicherung.check24.de/filestore/tariff_terms/04d35cfd1ad67a41ed14cdb9d431cc4a/Versicherungsbedingungen__Smile!_ZahnKomfort_Z3.pdf?v=1533908553,45-90%,45-90%,45-90%,45-90%,45-90%,�� 85 per insurance year,8 months,Contribution increases due to age every 5 to 10 years (age group rate),0.11,0.11,0.11,0.12,0.15,0.16,0.16,0.16,0.08,0,0,0
